	t-SNE Component 1	t-SNE Component 2	Label
496	23.002304	9.019654	Small
497	6.3991785	-0.93480855	Small
498	42.984703	6.9378867	Small
499	45.385075	7.2737274	Small
500	3.4045856	-5.8635597	Small
501	4.371646	-4.5477777	Small
502	7.3693204	-1.2919774	Small
503	3.813384	-5.128607	Small
504	5.4531	-2.300971	Small
505	6.9823127	-2.0051706	Small
506	7.6923547	-1.4191002	Small
507	7.1002264	-1.8694973	Small
508	5.669726	-1.7663429	Small
509	10.240068	1.4219954	Small
510	24.41883	4.9820976	Small
511	16.253136	3.174666	Small
512	8.601093	0.28373167	Small
513	11.783306	11.999747	Small
514	27.694	7.1743608	Small
515	20.523445	5.9689274	Small
516	15.760047	2.7415266	Small
517	6.5853996	-1.7701625	Small
518	30.033892	8.308307	Small
519	7.46474	2.2632952	Small
520	8.335458	5.474653	Small
521	17.27949	3.9050882	Small
522	16.024778	4.0376415	Small
523	6.633975	-2.5380914	Small
524	6.6231356	-1.3787378	Small
525	7.8886714	18.221865	Small
526	11.980038	14.490728	Small
527	10.019692	12.533733	Small
528	8.31151	4.764471	Small
529	7.5387673	3.196527	Small
530	7.7794943	16.504604	Small
531	3.4665809	-6.001271	Small
532	9.897593	9.063038	Small
533	8.744261	18.27667	Small
534	6.909492	18.351082	Small
535	13.412622	12.413461	Small
536	20.576637	11.888502	Small
537	6.7566214	2.4303033	Small
538	8.1762905	9.707517	Small
539	17.060484	12.119396	Small
540	8.811328	2.318083	Small
541	30.301758	5.9234047	Small
542	36.75274	4.375591	Small
543	15.980796	7.9547515	Small
544	6.8640666	17.423752	Small
545	31.94309	6.644131	Small
546	13.366061	9.479296	Small
547	16.501778	7.4804845	Small
548	16.496443	12.127553	Small
549	15.625116	9.45357	Small
550	26.560581	8.794689	Small
551	38.193977	4.7533364	Small
552	3.3348632	-6.849854	Small
553	32.145912	5.939155	Small
554	13.123453	5.697373	Small
555	5.083989	-4.632785	Small
556	10.276559	2.4656086	Small
557	12.14422	3.0493226	Small
558	5.632016	-0.95564014	Small
559	12.783382	1.6452415	Small
560	9.047493	0.2346737	Small
561	3.7909532	-6.4430623	Small
562	3.7150693	-5.638081	Small
563	25.13949	3.7386894	Small
564	26.410946	3.4267516	Small
565	4.888528	-3.5799947	Small
566	3.3187435	-5.2257805	Small
567	18.634434	1.8024355	Small
568	19.951899	2.3946838	Small
569	18.43089	3.5589633	Small
570	26.52906	6.269039	Small
571	5.096248	-3.8695097	Small
572	17.428026	1.6692405	Small
573	8.236846	-1.1731415	Small
574	23.578943	3.702134	Small
575	3.2978344	-5.660967	Small
576	3.3218033	-5.5140123	Small
577	2.5941572	-6.9331527	Small
578	15.903688	3.2159915	Small
579	17.579662	2.4700942	Small
580	7.985133	-1.6268194	Small
581	7.1145124	-2.8818252	Small
582	6.0328445	-3.2740364	Small
583	27.859838	4.992975	Small
584	10.490078	2.236681	Small
585	8.950872	0.076889224	Small
586	10.934278	0.8744308	Small
587	23.078136	8.648637	Small
588	27.34983	5.37016	Small
589	24.10854	6.17422	Small
590	4.369088	-4.46859	Small
591	5.2076097	-4.075179	Small
592	5.066056	-2.5200949	Small
593	37.763283	6.5303526	Small
594	21.142658	3.5239666	Small
595	24.532585	3.390155	Small
596	4.086577	-4.968546	Small
597	3.564027	-5.061962	Small
598	1.7972596	-8.624022	Small
599	4.952691	-3.6036713	Small
600	4.649786	-3.9954605	Small
601	17.65832	3.0260544	Small
602	19.358093	4.4894743	Small
603	18.705444	5.056298	Small
604	35.818485	6.3992085	Small
605	28.621103	7.321523	Small
606	8.212367	4.9371133	Small
607	15.150885	8.347646	Small
608	23.455364	8.35937	Small
609	17.033005	7.5622535	Small
610	13.031956	14.831296	Small
611	24.368586	7.6713843	Small
612	24.144869	6.849335	Small
613	16.749826	9.600919	Small
614	10.883642	1.5165604	Small
615	20.827005	3.6884882	Small
616	16.439362	4.543594	Small
617	10.831975	2.5374706	Small
618	9.332977	0.6494079	Small
619	16.82831	3.2377985	Small
620	9.290266	1.0451076	Small
621	15.243589	3.296188	Small
622	16.928347	2.0539155	Small
623	20.103474	2.7008433	Small
624	17.362354	3.765305	Small
625	24.38835	2.9129553	Small
626	21.085775	10.264196	Small
627	26.328102	7.4753604	Small
628	30.496868	5.249554	Small
629	27.60234	9.257966	Small
630	9.219992	3.9106438	Small
631	14.129696	6.7884355	Small
632	19.23573	8.389406	Small
633	17.292103	6.3138523	Small
634	21.7902	9.657649	Small
635	28.676916	7.0072265	Small
636	18.443316	8.27437	Small
637	27.114286	8.96572	Small
638	20.139534	8.758217	Small
639	20.287086	8.894379	Small
640	17.522175	8.536914	Small
641	16.97031	10.217945	Small
642	21.659834	9.546116	Small
643	6.4392595	-2.6596136	Small
644	22.086464	5.895805	Small
645	18.965815	6.0844054	Small
646	30.01946	5.1223536	Small
647	19.078646	5.908975	Small
648	16.219688	11.93992	Small
649	14.405153	13.30012	Small
650	13.909605	9.731451	Small
651	15.8381605	12.447681	Small
652	15.0807495	13.452655	Small
653	8.768347	17.185074	Small
654	17.75783	9.978125	Small
655	9.463129	17.938763	Small
656	17.522964	9.552175	Small
657	25.685163	9.220273	Small
658	24.473764	8.351011	Small
659	15.83307	13.531472	Small
660	3.9617949	-1.1807569	Small
661	37.407875	4.392937	Small
662	28.974598	7.939786	Small
663	23.427336	11.235485	Small
664	24.362177	6.668604	Small
665	12.507971	9.399874	Small
666	11.783472	7.8402004	Small
667	19.30665	10.031792	Small
668	16.062565	13.3364525	Small
669	8.32542	15.267395	Small
670	8.680346	2.846742	Small
671	10.246523	12.270851	Small
672	8.298355	11.705678	Small
673	31.666195	7.959439	Small
674	27.634592	8.404424	Small
675	18.934525	10.771981	Small
676	7.156267	18.631733	Small
677	38.73228	6.7414584	Small
678	8.552059	3.0442326	Small
679	15.642779	7.695153	Small
680	10.5102415	7.274853	Small
681	33.716576	7.360792	Small
682	8.8732	11.664948	Small
683	8.438208	14.901475	Small
684	33.043495	6.8796825	Small
685	15.389523	13.548682	Small
686	7.204477	18.661057	Small
687	11.643786	8.6318	Small
688	16.276203	11.917343	Small
689	42.193913	6.977756	Small
690	22.936539	10.235836	Small
691	9.801977	4.8667903	Small
692	15.786687	12.668841	Small
693	25.592243	7.6135435	Small
694	26.224106	5.7245684	Small
695	7.8563805	17.847387	Small
696	12.22722	14.998546	Small
697	11.047518	2.550963	Small
698	35.739265	5.9437757	Small
699	11.623	2.856238	Small
700	40.96439	5.8985367	Small
701	17.692675	5.567906	Small
702	3.980242	-5.3364053	Small
703	28.638155	7.159642	Small
704	19.849737	11.026715	Small
705	9.2582445	2.6327727	Small
706	27.166216	9.692687	Small
707	1.708677	-7.2940054	Small
708	5.026004	-4.9932694	Small
709	17.61071	7.9713306	Small
710	39.799976	5.6657014	Small
711	29.664906	6.375933	Small
712	8.580866	1.2316121	Small
713	8.711418	15.27273	Small
714	13.729835	12.35022	Small
715	21.168413	8.566854	Small
716	38.07031	5.498453	Small
717	24.12219	7.4060464	Small
718	8.575415	7.8267493	Small
719	14.23086	11.298532	Small
720	11.608642	13.595314	Small
721	22.722118	5.1168957	Small
722	17.165653	9.776302	Small
723	37.345825	6.51187	Small
724	22.971472	9.591092	Small
725	17.138002	11.413546	Small
726	12.133917	11.404627	Small
727	8.345105	11.08879	Small
728	11.094492	10.469416	Small
729	8.26575	12.911981	Small
730	44.883778	7.1674776	Small
731	33.54184	7.3400183	Small
732	6.8652906	17.423304	Small
733	23.033142	10.896389	Small
734	11.421227	6.5154705	Small
735	13.550217	14.865396	Small
736	10.3121195	14.104193	Small
737	10.829431	16.365295	Small
738	6.7201858	17.92551	Small
739	7.671171	15.081523	Small
740	13.669544	13.714905	Small
741	8.887505	16.990742	Small
742	39.963005	6.4749975	Small
743	38.14588	5.79345	Small
744	44.142406	6.760112	Small
745	6.8678074	17.422523	Small
746	8.4275875	14.388755	Small
747	15.443016	8.712539	Small
748	19.46631	2.5271254	Small
749	12.473464	12.648393	Small
750	11.562053	11.75037	Small
751	33.460327	7.101804	Small
752	12.282606	3.7497373	Small
753	9.180132	15.749596	Small
754	5.6737037	-2.6752663	Small
755	21.775335	9.013873	Small
756	26.671173	5.3570404	Small
757	18.64029	10.798685	Small
758	27.38053	4.6754932	Small
759	21.415184	10.927101	Small
760	30.159538	5.932322	Small
761	23.80488	5.0692024	Small
762	24.278402	4.9566245	Small
763	15.860061	6.435703	Small
764	26.825476	6.141927	Small
765	18.451105	6.8616266	Small
766	15.648415	11.8517	Small
767	32.054855	7.2447515	Small
768	19.837395	10.107895	Small
769	0.25891885	-11.30672	Small
770	6.5280514	0.14944363	Small
771	9.173759	7.080153	Small
772	12.052864	13.248572	Small
773	11.143521	13.076628	Small
774	42.71866	8.878877	Small
775	29.676252	10.240024	Small
776	8.269841	12.254261	Small
777	16.681908	10.45628	Small
778	17.217588	8.707707	Small
779	31.21615	9.038136	Small
780	14.343072	11.708031	Small
781	42.80758	8.422853	Small
782	8.891975	6.462604	Small
783	26.884853	8.2760315	Small
784	30.939137	9.078659	Small
785	10.928422	7.1006784	Small
786	46.572704	7.5824885	Small
787	15.2839365	7.151866	Small
788	6.052898	-1.4183763	Small
789	4.3964176	-5.2381825	Small
790	14.2992115	3.763362	Small
791	37.16111	6.026812	Small
792	28.189354	4.072334	Small
