	UMAP Component 1	UMAP Component 2	Label
443	-5.086827	9.63234	Small
444	-4.9154267	7.0499825	Small
445	-3.592071	6.2955008	Small
446	-2.4474957	-0.06906383	Small
447	8.314227	1.383866	Small
448	8.764708	1.4255788	Small
449	9.384704	0.25681242	Small
450	6.744672	4.1355658	Small
451	8.123124	1.9253247	Small
452	9.825541	-0.15709314	Small
453	9.109909	0.63573027	Small
454	9.544183	0.032976683	Small
455	8.474063	1.3275694	Small
456	8.217824	1.8135244	Small
457	9.259713	0.49847117	Small
458	9.937539	-0.23860644	Small
459	9.166307	0.6264052	Small
460	8.717313	1.1123642	Small
461	9.450593	0.16753435	Small
462	9.603445	-0.025729997	Small
463	8.77453	1.0395296	Small
464	9.748932	-0.12393265	Small
465	9.270382	0.47378898	Small
466	8.916184	1.1363479	Small
467	8.40773	1.9448206	Small
468	9.6736145	-0.06576662	Small
469	8.48843	1.728981	Small
470	8.530795	1.9030281	Small
471	8.325825	1.7409048	Small
472	8.615575	1.3704785	Small
473	9.086055	0.8808492	Small
474	5.7745504	4.782511	Small
475	7.055289	4.0739794	Small
476	8.131479	1.4884827	Small
477	8.079864	2.3306432	Small
478	9.473999	0.1362727	Small
479	8.018997	2.313931	Small
480	8.416502	1.6271333	Small
481	6.749318	3.8491156	Small
482	8.624007	1.3342615	Small
483	9.026242	0.8678424	Small
484	8.983204	0.8119755	Small
485	7.4365015	2.9927804	Small
486	8.535024	1.2356981	Small
487	-5.6391425	9.956674	Small
488	-3.5408604	6.0450425	Small
489	-2.8885546	7.8770185	Small
490	-6.155026	10.427649	Small
491	-5.952552	11.573122	Small
492	-6.9448104	16.131514	Small
493	-5.578	6.527231	Small
494	-6.4770646	10.293529	Small
495	-6.9783735	11.614447	Small
496	-5.0064054	8.134609	Small
497	4.515796	4.8591337	Small
498	-7.8907995	17.145382	Small
499	-7.8456764	18.807386	Small
500	7.3914447	3.5204792	Small
501	6.799442	4.2417545	Small
502	3.7684186	6.1631246	Small
503	7.192762	4.0857415	Small
504	5.0184383	5.530258	Small
505	4.321911	5.9584384	Small
506	3.7211561	6.2262506	Small
507	4.1267066	6.018914	Small
508	4.4487767	5.8646164	Small
509	1.5944222	6.410806	Small
510	-3.8098614	9.916731	Small
511	-0.38796395	7.5987067	Small
512	2.793937	6.045137	Small
513	-2.6340747	3.2028284	Small
514	-5.7968717	10.269984	Small
515	-3.048004	8.25611	Small
516	-0.23381734	7.7118864	Small
517	4.549212	5.4832325	Small
518	-6.6500316	10.763651	Small
519	2.6553488	4.698039	Small
520	1.2268895	3.8108778	Small
521	-1.6848898	7.759457	Small
522	-0.82699376	7.344376	Small
523	4.758912	5.4374695	Small
524	4.404919	5.093591	Small
525	-4.7877336	-3.5323856	Small
526	-3.9090044	2.3089595	Small
527	-2.1070464	2.2691715	Small
528	1.456866	4.090379	Small
529	2.3872874	4.4683447	Small
530	-2.969749	-1.0669904	Small
531	7.283431	3.3152997	Small
532	-0.89593035	3.4005537	Small
533	-4.530638	-2.3828764	Small
534	-5.614117	-5.3869233	Small
535	-3.444769	3.6353865	Small
536	-5.4891877	6.32032	Small
537	2.63306	5.3123364	Small
538	-0.10147718	2.58583	Small
539	-4.718205	4.9850874	Small
540	2.0787504	5.281558	Small
541	-5.7489743	11.587362	Small
542	-6.062811	14.358794	Small
543	-2.5681827	5.998406	Small
544	-5.315183	-4.8338876	Small
545	-6.696876	12.445468	Small
546	-2.3220592	4.5891294	Small
547	-2.5767217	6.225897	Small
548	-4.6011157	4.873627	Small
549	-2.9633768	5.3340664	Small
550	-6.049907	9.485859	Small
551	-6.4080644	15.111722	Small
552	7.351421	2.8516889	Small
553	-6.080632	12.667571	Small
554	-0.68270606	5.778375	Small
555	6.303735	4.693585	Small
